"iconicity_condition","adverb_type","polarity","observations","participants","mean_rating","sd_rating","se_rating","median_rating","q1_rating","q3_rating"
"nonideophone","reduplication","affirmative",114,114,89.3684210526316,23.134184627296,2.16671490844368,100,100,100
"nonideophone","reduplication","affirmative",114,114,89.3684210526316,23.134184627296,2.16671490844368,100,100,100
"nonideophone","reduplication","negative",114,114,53.2456140350877,37.203235515281,3.48440225285443,59.5,0,0
"nonideophone","reduplication","negative",114,114,53.2456140350877,37.203235515281,3.48440225285443,59.5,19.25,19.25
"nonideophone","reduplication","negative",114,114,53.2456140350877,37.203235515281,3.48440225285443,59.5,59.5,59.5
"nonideophone","reduplication","negative",114,114,53.2456140350877,37.203235515281,3.48440225285443,59.5,90,90
"nonideophone","reduplication","negative",114,114,53.2456140350877,37.203235515281,3.48440225285443,59.5,100,100
"nonideophone","temporal","affirmative",114,114,89.9824561403509,24.6026771894329,2.30425183825474,100,0,0
"nonideophone","temporal","affirmative",114,114,89.9824561403509,24.6026771894329,2.30425183825474,100,96.5,96.5
"nonideophone","temporal","affirmative",114,114,89.9824561403509,24.6026771894329,2.30425183825474,100,100,100
"nonideophone","temporal","affirmative",114,114,89.9824561403509,24.6026771894329,2.30425183825474,100,100,100
"nonideophone","temporal","affirmative",114,114,89.9824561403509,24.6026771894329,2.30425183825474,100,100,100
"nonideophone","temporal","negative",114,114,68.421052631579,36.958693694314,3.46149881286883,85,0,0
"nonideophone","temporal","negative",114,114,68.421052631579,36.958693694314,3.46149881286883,85,35.25,35.25
"nonideophone","temporal","negative",114,114,68.421052631579,36.958693694314,3.46149881286883,85,85,85
"nonideophone","temporal","negative",114,114,68.421052631579,36.958693694314,3.46149881286883,85,100,100
"nonideophone","temporal","negative",114,114,68.421052631579,36.958693694314,3.46149881286883,85,100,100
